OBJECTID;Id. Falla;Nom / Nombre;Secció / Seccion;Fallera Major / Fallera Mayor;President / Presidente;Artiste / Artista;Lema;Any Fundació / Año Fundacion;Distintiu / Distintivo;Esbós / Boceto;Falla Experimental;geo_shape;geo_point_2d
2942;167;En Plom-Guillem de Castro;18;NO HAY;NO HAY;JUAN ALBERTO NAVARRO GUIJARRO;DE PELICULA;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_167_bi.jpg;;"{""coordinates"": [-0.3839579185686368, 39.47532279735578], ""type"": ""Point""}";39.47532279735578, -0.3839579185686368
2947;256;Blasco Ibáñez-Mestre Ripoll;22;Alejandra Gil López;Daphne Benlloch Jordán;ISIDRO MARTINEZ APARICIO 'VENTISCA';TRAVESURA  REALIZADA;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_256_bi.jpg;;"{""coordinates"": [-0.33790586645778503, 39.47172044606407], ""type"": ""Point""}";39.47172044606407, -0.33790586645778503
2952;144;Progrés-Teatre de la Marina;6;Rocío Monfort García;Mario Aguilar Yerves;Juan Carlos Banacloy Cuevas;Nostra Història, el Teatre;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_144_bi.jpg;;"{""coordinates"": [-0.3302117150334165, 39.467341211586984], ""type"": ""Point""}";39.467341211586984, -0.3302117150334165
2961;199;Veneçuela-Agustí Sales;12;Sofía Navas Rosell;Carlos Marín Pla;RAFAEL MARTINEZ REIG (ESTUDIO CHUKY);¡BOLA VAAAA!;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_199_bi.jpg;;"{""coordinates"": [-0.38840457980946974, 39.455419136234624], ""type"": ""Point""}";39.455419136234624, -0.38840457980946974
2962;225;Rosari-Calabuig, pl.;11;Cayetana Rebollo Juan;Mateo Torres Gimeno;Carlos Carsí;Y se armó el.pollo;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_225_bi.jpg;;"{""coordinates"": [-0.33156817090088575, 39.463187095820146], ""type"": ""Point""}";39.463187095820146, -0.33156817090088575
2963;129;Ramiro de Maeztu-Els Lleons;2;Laura García Pérez;Héctor Galduf Candela;Carlos Carsí;L´essencial és invisible als ulls;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_129_bi.jpg;;"{""coordinates"": [-0.3476659812976593, 39.46732734129659], ""type"": ""Point""}";39.46732734129659, -0.3476659812976593
2964;177;Sueca-Literat Azorín;1;NO HAY;Pepe Ros Sala;AUSIAS ESTRUGO MAÑÓ;COMUNICAT;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_177_bi.jpg;;"{""coordinates"": [-0.3741752650387526, 39.46041986002565], ""type"": ""Point""}";39.46041986002565, -0.3741752650387526
2965;213;Vivons-Romeu de Corbera;15;Ángela Vives Yuste;Diego Vives Yuste;Vicente Zacarés Carrió;El tren de la alegría;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_213_bi.jpg;;"{""coordinates"": [-0.37189511593146135, 39.460443250111304], ""type"": ""Point""}";39.460443250111304, -0.37189511593146135
2966;330;Vicent Sancho Tello-Xile;2;Carolina Cotino Núñez;Gonzalo Aguilar Lozano;ANGEL NAVARRO;X SISTEMA;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_330_bi.jpg;;"{""coordinates"": [-0.3567120159579982, 39.46962274856368], ""type"": ""Point""}";39.46962274856368, -0.3567120159579982
2970;249;Segòvia, pl.-Doctor Tomàs Sala;3;Daniela Bartual Patiño;Joan Galera Rocha;EMILIO TAMARIT SIMÓN;CAÇADORS  D´ ESTRELES;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_249_bi.jpg;;"{""coordinates"": [-0.3911713901597564, 39.44889892891349], ""type"": ""Point""}";39.44889892891349, -0.3911713901597564
2975;385;Vicent Castell Maíques, pl.;21;Natalia Calduch García;NO HAY;Ramón Lemos Sierra;Centollos;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_385_bi.jpg;;"{""coordinates"": [-0.411194837814759, 39.4671400995247], ""type"": ""Point""}";39.4671400995247, -0.411194837814759
2980;55;Sapadors-Vicent Lleó;3;Lucía Comes Pardo;Hugo Martínez Calatayud;ANGEL NAVARRO REQUENA;AMSE (ASOC. DE MONSTRUOS QUE SI EXISTEN);;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_055_bi.jpg;;"{""coordinates"": [-0.36908181769177417, 39.458776110351614], ""type"": ""Point""}";39.458776110351614, -0.36908181769177417
2981;294;Jacint Labaila-Manuel Simó;18;Laura Rocamora Romero;Héctor López Esparza;Arturo Vallés Bea;Tierra y mar;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_294_bi.jpg;;"{""coordinates"": [-0.39084799717900054, 39.45989275411687], ""type"": ""Point""}";39.45989275411687, -0.39084799717900054
2982;133;Reina-Vicent Guillot;14;Alina Madaoui;Aris Madaoui;Jose Dauder Estopiña;L'ESTILL;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_133_bi.jpg;;"{""coordinates"": [-0.32800186019011895, 39.47315239579262], ""type"": ""Point""}";39.47315239579262, -0.32800186019011895
2983;21;Borrull-Socors;11;NO HAY;NO HAY;La comissió;Que si vols arròs, Catalina;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_021_bi.jpg;;"{""coordinates"": [-0.3867876120952589, 39.474490702590415], ""type"": ""Point""}";39.474490702590415, -0.3867876120952589
2984;14;Almirall Cadarso-Comte d'Altea;1;Vega Martínez Calabuig;Nicolás Vich Remohí;Vicente Gomar Vidal;Tot un any;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_014_bi.jpg;;"{""coordinates"": [-0.3685457738411127, 39.465787090458214], ""type"": ""Point""}";39.465787090458214, -0.3685457738411127
2986;122;Cervantes-Pare Jofré;6;Sofía Ledo Seguí;Alejandro Abad Albors;Isaac Argudo;L'història continua;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_122_bi.jpg;;"{""coordinates"": [-0.38158636660831474, 39.467604736113785], ""type"": ""Point""}";39.467604736113785, -0.38158636660831474
2987;188;Primat Reig-Vinaròs;7;Nuria Navarro Torres;NO HAY;JUAN JOSE SALOM DIAZ;LIFE IN COLORS;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_188_bi.jpg;;"{""coordinates"": [-0.3650843148596736, 39.48792781643971], ""type"": ""Point""}";39.48792781643971, -0.3650843148596736
2989;212;Arts i Oficis-Actor Llorens;11;Mónica Álvarez Font;Cristian Guaita Ángeles;MAURICIO MOREIRA;TINC UNA IDEA;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_212_bi.jpg;;"{""coordinates"": [-0.35439893176568404, 39.4683905776067], ""type"": ""Point""}";39.4683905776067, -0.35439893176568404
2990;374;Pere Cabanes-Joan XXIII;10;Daniela Escobí Otero;Pablo Ibáñez Pastor;Santi Muñoz Girón;Qui mana ací?;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_374_bi.jpg;;"{""coordinates"": [-0.3817570463289, 39.49379273883359], ""type"": ""Point""}";39.49379273883359, -0.3817570463289
2992;115;Frederic Mistral-Murta;10;Inés Manzaneque Fernández;NO HAY;Juan Jesus Garcia Perez;Sentits;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_115_bi.jpg;;"{""coordinates"": [-0.3578888095654178, 39.48593113386689], ""type"": ""Point""}";39.48593113386689, -0.3578888095654178
2999;259;Oltà-Juan Ramón Jiménez;13;Marta Panadero Polo;Enzo Martín Tomás;Vicente Chaveli Llinares;Escuela de Magia;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_259_bi.jpg;;"{""coordinates"": [-0.37452560845538485, 39.45307470676835], ""type"": ""Point""}";39.45307470676835, -0.37452560845538485
3006;218;Ausiàs March-Na Rovella;15;Alejandra Peris Díaz;Pablo Lancharro Melián;VICTOR CABALLERO GUTIERREZ;PER DAMUNT DEL SOSTRE;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_218_bi.jpg;;"{""coordinates"": [-0.37271572244004786, 39.450345087392144], ""type"": ""Point""}";39.450345087392144, -0.37271572244004786
3007;366;Santiago Rusiñol-Comte de Lumiares;11;Valeria Campillo Valero;Álvaro Montero Malo;Javier Rico Catalán;Psicolor;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_366_bi.jpg;;"{""coordinates"": [-0.3706448860894932, 39.497577639538264], ""type"": ""Point""}";39.497577639538264, -0.3706448860894932
3010;170;Regne de València-Sant Valer;7;Lola Zaragozá Almansa;Pablo Carbonell Almansa;JOTA DE JUANES;A CONTRACORRENT;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_170_bi.jpg;;"{""coordinates"": [-0.3718665945463772, 39.46447704782045], ""type"": ""Point""}";39.46447704782045, -0.3718665945463772
3012;18;Sant Miquel-Vicent Iborra, pl.;16;Emma Herrero Martínez;Iker Gilabert Jiménez;FET D'ENCARREC;ART FALLER, ART DE CARRER;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_018_bi.jpg;;"{""coordinates"": [-0.38102941055826023, 39.47682747666183], ""type"": ""Point""}";39.47682747666183, -0.38102941055826023
3013;204;Espartero-Ramón y Cajal;IE;Amanda García López Roca;Nicolás Cuñat Mohedano;FERNANDO FOIX FABREGAT;QUI SOC?;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_204_bi.jpg;;"{""coordinates"": [-0.38273692498497797, 39.4682676990441], ""type"": ""Point""}";39.4682676990441, -0.38273692498497797
3014;60;Conchita Piquer-Monestir de Poblet;17;Lucía García Gomiz;Aarón Mauro Nieves;VICENTE ESPELETA GARCÍA;ESPORTS PER A TOTS;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_060_bi.jpg;;"{""coordinates"": [-0.3917373293446117, 39.48688788496207], ""type"": ""Point""}";39.48688788496207, -0.3917373293446117
3015;314;Tres Camins-Pinedo;17;Vega Chornet I Pastor;Neizan Paredes I Sánchez;Reyes Perez Manglano;Espai segur;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_314_bi.jpg;;"{""coordinates"": [-0.3429767757241012, 39.43154110577371], ""type"": ""Point""}";39.43154110577371, -0.3429767757241012
3021;352;Poeta Emili Baró-Enric Ginesta;9;Carmen Barres Devis;Adrián Bascuñana Pina;JUANJO SALOM DÍAZ;JOCS DE TAULA;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_352_bi.jpg;;"{""coordinates"": [-0.3584816974118632, 39.49173383321136], ""type"": ""Point""}";39.49173383321136, -0.3584816974118632
3022;86;Blocs Platja;2;Gisela Torres Garriga;Aarón Hortal Grau;VICTOR HUGO GINER BLASCO;LA NIT DE HALLOWEEN;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_086_bi.jpg;;"{""coordinates"": [-0.32665845868343124, 39.46592364236813], ""type"": ""Point""}";39.46592364236813, -0.32665845868343124
3030;360;Rubén Darío-Fra Lluís Colomer;14;Delia Molina Ferrer;Lucas García Codoñer;Agustín Torralba Soto;Les meues Falles;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_360_bi.jpg;;"{""coordinates"": [-0.3537116431779483, 39.477035494923065], ""type"": ""Point""}";39.477035494923065, -0.3537116431779483
3036;190;Mare de Déu de la Fontsanta;21;Adriana Nivar Simón;José Antonio López Esteban;FUSTA I CARTO S.L;CARTA ALS SUPER HEROIS;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_190_bi.jpg;;"{""coordinates"": [-0.40796090349541275, 39.46582245635461], ""type"": ""Point""}";39.46582245635461, -0.40796090349541275
3038;32;Doctor Serrano-Carles Cervera-Clero;2;Lourdes Figueras Bruno;NO HAY;Ausiàs Estrugo;Ole, Ole i Ole;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_032_bi.jpg;;"{""coordinates"": [-0.3728637253928703, 39.46252824040845], ""type"": ""Point""}";39.46252824040845, -0.3728637253928703
3040;257;Músic Espí-Gravador Fabregat;19;Irene Climent Medina;Marc Climent Medina;Pepe Gómez;d´a on soc?;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_257_bi.jpg;;"{""coordinates"": [-0.37313321973475194, 39.49679433423147], ""type"": ""Point""}";39.49679433423147, -0.37313321973475194
3044;116;Josep Maestre;15;NO HAY;NO HAY;Ricardo Balanzá Martínez;Les Ciutats Invisibles;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_116_bi.jpg;;"{""coordinates"": [-0.4049562596954099, 39.46704705493233], ""type"": ""Point""}";39.46704705493233, -0.4049562596954099
3045;2;Mercat de Russafa, pl.;13;Paz Valencia Gómez;Joan Santamaría Llorens;Alex López;Russafa a escena;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_002_bi.jpg;;"{""coordinates"": [-0.37147133660602377, 39.46243114536625], ""type"": ""Point""}";39.46243114536625, -0.37147133660602377
3053;349;Sants Just i Pastor-Serradora;6;Alba Gómez Lara / Lucía Gómez Lara;Martín Castilla Paredes;Alex Cano;Escola de Màgia;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_349_bi.jpg;;"{""coordinates"": [-0.3363449812551534, 39.466220108635305], ""type"": ""Point""}";39.466220108635305, -0.3363449812551534
3054;235;Barri de La Llum;3;Alicia Ramírez Fernández;Voro Montalbán Folgado;Miguel March Azor;Llum;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_235_bi.jpg;;"{""coordinates"": [-0.41513844170815534, 39.467424429574315], ""type"": ""Point""}";39.467424429574315, -0.41513844170815534
3056;91;Pintor Domingo-Guillem de Castro;22;NO HAY;NO HAY;Francisco Ribes López;Cor...lors;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_091_bi.jpg;;"{""coordinates"": [-0.3794573586426561, 39.47443522919363], ""type"": ""Point""}";39.47443522919363, -0.3794573586426561
3058;107;Bilbao-Maximilià Thous;5;Valentina Todorov Rodrigues;Borja Cabedo Sáez;Jose Vicente Zurita Abad;Oz;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_107_bi.jpg;;"{""coordinates"": [-0.3723427019067447, 39.48735932257029], ""type"": ""Point""}";39.48735932257029, -0.3723427019067447
3059;319;Sant Vicent de Paül-Dip. Clara Campoamor;8;Marta Martínez Collado;NO HAY;Juan Jesus Garcia Perez;Sense Vergonya;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_319_bi.jpg;;"{""coordinates"": [-0.3692435140465168, 39.49181702235244], ""type"": ""Point""}";39.49181702235244, -0.3692435140465168
3062;354;Marqués de Lozoya-Poeta Josep Cervera i Grifol;20;NO HAY;NO HAY;Jose Manuel Mora López;La Corte del Faraon;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_354_bi.jpg;;"{""coordinates"": [-0.3595237427517756, 39.45457986697309], ""type"": ""Point""}";39.45457986697309, -0.3595237427517756
3064;132;Glòria-Felicitat-El Tremolar;4;Estela Ballesteros i Andreo;Romeu Escriba i Vilanova;Alvaro Guija Moreno;Malsons;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_132_bi.jpg;;"{""coordinates"": [-0.36555439260094047, 39.42434247325386], ""type"": ""Point""}";39.42434247325386, -0.36555439260094047
3067;232;Pius XI-Fontanars;4;Sonia Rodrigo Usó;Álvaro Oltra Poza;DAVID OJEDA AMOROS;RECORDA'M;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_232_bi.jpg;;"{""coordinates"": [-0.39333633039230503, 39.45894256798888], ""type"": ""Point""}";39.45894256798888, -0.39333633039230503
2720;386;Menorca-Lluís Bolinches;21;María Soteras Herrero;Joel Moreno Cantó;Francisco Dauver Estopiña;Meptuno;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_386_bi.jpg;;"{""coordinates"": [-0.34527646287873254, 39.45557172903931], ""type"": ""Point""}";39.45557172903931, -0.34527646287873254
2725;53;Pintor Segrelles, pl.;5;Marta Trénor Ruiz;Lucas González Alfonso;DANIEL PÉREZ MARTÍNEZ;SEGRELLES ART i MERAVELLES;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_053_bi.jpg;;"{""coordinates"": [-0.3853772571900314, 39.464206576475426], ""type"": ""Point""}";39.464206576475426, -0.3853772571900314
2727;336;Serra Martés-Miguel Servet;11;Noa Domínguez Morató;Álvaro Pérez Blanco;ENRIC ANDRÉS ALANDÍ;'VOLEM VOLAR';;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_336_bi.jpg;;"{""coordinates"": [-0.39257276285653914, 39.48814273355685], ""type"": ""Point""}";39.48814273355685, -0.39257276285653914
2729;101;Carrera de Malilla-Enginyer J. Benlloch;2;Julia Sala Ochando;Jon Miró Martí;García Ribas Artes Plásticas CB;El meu animal espiritual;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_101_bi.jpg;;"{""coordinates"": [-0.3780110712191844, 39.4541151437507], ""type"": ""Point""}";39.4541151437507, -0.3780110712191844
2733;370;Llorers-Arquitecte Lucini;20;NO HAY;Hugo Pardo Martínez;Isidro Martínez Aparicio;Love is in the Air;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_370_bi.jpg;;"{""coordinates"": [-0.375028664821242, 39.49086033977403], ""type"": ""Point""}";39.49086033977403, -0.375028664821242
2740;192;Ramiro de Maeztu-Humanista Furió;5;Paula Herráiz Lainez;NO HAY;VICENTE DOMINGUEZ;El cuento de la vasija agrietada. UNA HISTORIA DE BOLLYWOOD;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_192_bi.jpg;;"{""coordinates"": [-0.345477704907943, 39.466688981595844], ""type"": ""Point""}";39.466688981595844, -0.345477704907943
2742;73;Santa Creu, pl.;21;Macarena Chamizo Perona;Jaume Ruiz González;La Comisión;Del pati de la casa numero deu, ixqué la primera Falla Infantil de la Plaça Santa Creu;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_073_bi.jpg;;"{""coordinates"": [-0.3778942907148283, 39.478651077226424], ""type"": ""Point""}";39.478651077226424, -0.3778942907148283
2743;141;Fra J. Rodríguez-Pintor Cortina;13;Ana Hernández Charcos;Mateo Díaz Charcos;Fusta i cartó SL;Esta falla es la LLet;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_141_bi.jpg;;"{""coordinates"": [-0.3915127499228449, 39.45433710103545], ""type"": ""Point""}";39.45433710103545, -0.3915127499228449
2746;137;Quart-Túria;20;Caterina Carrascosa Montesinos;Pablo Martínez Alba;Juan jose garcia Perez;La mano que mece las fallas;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_137_bi.jpg;;"{""coordinates"": [-0.38527844263187905, 39.47564869874898], ""type"": ""Point""}";39.47564869874898, -0.38527844263187905
2747;369;Poetes Anònims-Real de Gandia;22;Martina Priego Polit;NO HAY;La Comisión;Un Lloc de Llegenda;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_369_bi.jpg;;"{""coordinates"": [-0.35436993886628726, 39.48609635115601], ""type"": ""Point""}";39.48609635115601, -0.35436993886628726
2753;287;Riu Bidasoa-Comte de Torrefiel;16;Adriana Torres Molina;Gabriel Máñez Tenorio;CRISTIAN GARCIA CARRASCO;AÇI JUGUEM TOTS;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_287_bi.jpg;;"{""coordinates"": [-0.3781548016639227, 39.49801434521526], ""type"": ""Point""}";39.49801434521526, -0.3781548016639227
2755;379;La Vall d'Albaida-La Canal de Navarrés;20;Rocío Folgado Oritz;NO HAY;RAUL MARTINEZ RUIZ 'CHUKY';XOCOLATA I BUNYOLS;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_379_bi.jpg;;"{""coordinates"": [-0.4019062576673441, 39.49216364369256], ""type"": ""Point""}";39.49216364369256, -0.4019062576673441
2759;304;Isaac Peral-Méndez Núñez;14;Julia Ortega Ordóñez;Jaume Campos Pérez;ISIDRO VENTISCAS;'PEIM';;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_304_bi.jpg;;"{""coordinates"": [-0.33877266016215507, 39.45987194790434], ""type"": ""Point""}";39.45987194790434, -0.33877266016215507
2761;339;Blanqueries;18;Érica Gómez Martínez;NO HAY;Ignacio Ferrando Tamarit;La mar de dunes;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_339_bi.jpg;;"{""coordinates"": [-0.3773553013165698, 39.48014181748528], ""type"": ""Point""}";39.48014181748528, -0.3773553013165698
2762;201;Palleter-Erudit Orellana;10;Sara Machí Penella;NO HAY;José Luis Platero Cosí;Les voltes de la vida;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_201_bi.jpg;;"{""coordinates"": [-0.3874010392826273, 39.470895285101825], ""type"": ""Point""}";39.470895285101825, -0.3874010392826273
2763;4;Portal de la Valldigna-Salines;19;NO HAY;NO HAY;JJ GARCIA;...UN EXILI;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_004_bi.jpg;;"{""coordinates"": [-0.3784512458282829, 39.47751393338465], ""type"": ""Point""}";39.47751393338465, -0.3784512458282829
2779;146;Tres Forques-Conca-Pérez Galdós;7;Erika López-Amor Zapata;NO HAY;FRANCISCO HIDALGO DE LA TORRE;DE TEMPORADA;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_146_bi.jpg;;"{""coordinates"": [-0.3882772628262409, 39.463898426297476], ""type"": ""Point""}";39.463898426297476, -0.3882772628262409
2781;174;Pintor Salvador Abril-Peris i Valero;6;Lucía Granados Recuenco;Álvaro Gimeno Andreu;SuperArte;Russafa World Tour;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_174_bi.jpg;;"{""coordinates"": [-0.36841706445141464, 39.46029501899712], ""type"": ""Point""}";39.46029501899712, -0.36841706445141464
2786;307;Àngel Villena-Pintor Sabater;17;Alejandra Rey Vera;NO HAY;FCO JOSE CUADROS MARTINEZ;LOONIES TUNES;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_307_bi.jpg;;"{""coordinates"": [-0.36748281655182563, 39.44867001721903], ""type"": ""Point""}";39.44867001721903, -0.36748281655182563
2789;54;Joaquim Costa-Borriana;5;Mercedes García Pascual;Tomás Huerta Rodríguez;DAVID OJEDA AMOROS;CREUA EL CARRER;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_054_bi.jpg;;"{""coordinates"": [-0.3663419560668204, 39.46521910688684], ""type"": ""Point""}";39.46521910688684, -0.3663419560668204
2790;359;Enginyer Josep Sirera-Pius IX;17;Chloe Zapata i Peris;Hugo Sánchez i Cuevas;Estudio Chuky;Eco-lògic;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_359_bi.jpg;;"{""coordinates"": [-0.39218648682507495, 39.44670689299984], ""type"": ""Point""}";39.44670689299984, -0.39218648682507495
2791;52;Misser Rabassa-Poeta Maragall;22;Lucía Sales Cosín;Samuel Blázquez Claver;JUAN RUIZ RECIO Y AMAPARO ORDAZ;APREN;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_052_bi.jpg;;"{""coordinates"": [-0.3881800002379409, 39.45761089834805], ""type"": ""Point""}";39.45761089834805, -0.3881800002379409
2798;306;Cedre-Explorador Andrés;18;NO HAY;NO HAY;MARCO CEBALLOS;HOMENATGE A LA POLVORA;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_306_bi.jpg;;"{""coordinates"": [-0.34673173356424475, 39.47211224320426], ""type"": ""Point""}";39.47211224320426, -0.34673173356424475
2800;296;Hondures, pl.;21;Aurora García Granja;Raúl García Granja;JOSE LUIS PLATERO COSI;La replanta;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_296_bi.jpg;;"{""coordinates"": [-0.3445308605167278, 39.474352019187855], ""type"": ""Point""}";39.474352019187855, -0.3445308605167278
2805;125;Baró de San Petrillo-Leonor Jovani;6;Yumara García Nitu;Adrián Frigols Garde;Xaume Torrent Arenas;Tot un Orgull;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_125_bi.jpg;;"{""coordinates"": [-0.36017951272742643, 39.48535569075467], ""type"": ""Point""}";39.48535569075467, -0.36017951272742643
2807;169;Major-Moraira-Natzaret;5;Sara Visiedo i Canosa;Rubén Soro i Martínez;Ximo Marti i Fernandez;Veles e Vents;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_169_bi.jpg;;"{""coordinates"": [-0.3331581896126186, 39.45015446341096], ""type"": ""Point""}";39.45015446341096, -0.3331581896126186
2808;309;Negret, pl.;13;Lucía Mengó Minguet;Daniel Vázquez Martínez;Lorenzo Fandos Ayoro;T'abelleix un dolç?;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_309_bi.jpg;;"{""coordinates"": [-0.37738225084166493, 39.47616181664281], ""type"": ""Point""}";39.47616181664281, -0.37738225084166493
2814;323;Fontcalent-Lebon;20;Laura Conesa González;Francisco Aguado Heras;Lorenzo Fandos Ayoro;Et véns a la fira?;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_323_bi.jpg;;"{""coordinates"": [-0.34978600489034284, 39.463402089899], ""type"": ""Point""}";39.463402089899, -0.34978600489034284
2823;184;Indústria-Sants Just i Pastor;3;Valeria González Cea;NO HAY;Javier Rico;'¿COM DE LLUNY VOLS ANAR?';;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_184_bi.jpg;;"{""coordinates"": [-0.34159336994430667, 39.46774343337371], ""type"": ""Point""}";39.46774343337371, -0.34159336994430667
2820;135;Avinguda de Burjassot-Joaquim Ballester;10;Ainhoa Balbastre Pérez;Álvaro Mazcuñán Debón;JOSE BADIA ROCA;I TU A QUE JUGUES?;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_135_bi.jpg;;"{""coordinates"": [-0.3855389535616268, 39.484905038547666], ""type"": ""Point""}";39.484905038547666, -0.3855389535616268
2821;46;Baix-Mesó de Morella;22;Mar Romeu Teruel;Daniel Rochera Salvador;Vicente Dominguez;La Falleta més Mona;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_046_bi.jpg;;"{""coordinates"": [-0.3795022752479178, 39.47749313148039], ""type"": ""Point""}";39.47749313148039, -0.3795022752479178
2822;35;Joan d'Aguiló-Gaspar Aguilar;5;Ana González Gil;Adrián Cruz Peralta;JAIME TORRENT ARENAS;Un món en cada u;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_035_bi.jpg;;"{""coordinates"": [-0.39061443552503283, 39.45670923238921], ""type"": ""Point""}";39.45670923238921, -0.39061443552503283
